location_name,lat,lon,title,author,publisher,size,notes,,,library,
板橋区役所,35.751182,139.709284,石仏 改定版 (文化財シリーズ ; 第79集) (いたばしの石造文化財 ; その4),東京都板橋区教育委員会,"東京 : 板橋区教育委員会, 1995.3",102p ; 21cm×30cm,pp.29「長徳寺弁才天」,,,http://id.ndl.go.jp/bib/000002437781,
板橋区役所,35.751182,139.709284,いたばしの文化財 第2集,[東京都]板橋区教育委員会事務局社会教育課 編,"東京 : 板橋区教育委員会, 1988.3",20p ; 30cm,pp.10「早瀬の渡し水神宮碑」裏面の銘文,,,http://id.ndl.go.jp/bib/000001915420,
東京都中央区役所,35.670738,139.771963,雑誌 : 歴史と地理12(3),星野書店[編],"京都 : 星野書店, 1923-09",p ; 22cm,pp.53-55「水天宮の硏究――(一)及川儀右衞門」,,,https://dl.ndl.go.jp/pid/3566888,
東京都中央区役所,35.670738,139.771963,雑誌 : 歴史と地理12(4),星野書店[編],"京都 : 星野書店, 1923-10",p ; 22cm,pp.76-84「水天宮の硏究――(二)及川儀右衞門」,,,https://dl.ndl.go.jp/pid/3566889,
東京都中央区役所,35.670738,139.771963,雑誌 : 歴史と地理12(5),星野書店[編],"京都 : 星野書店, 1923-11",p ; 22cm,pp.89-92「水天宮の硏究――(三)及川儀右衞門」,,,https://dl.ndl.go.jp/pid/3566890,
東京都中央区役所,35.670738,139.771963,雑誌 : 歴史と地理12(6),星野書店[編],"京都 : 星野書店, 1923-12",p ; 22cm,pp.84-87「水天宮の硏究――(四)及川儀右衞門」,,,https://dl.ndl.go.jp/pid/3566891,
練馬区役所,35.735678,139.651745,練馬の石仏 その2 (祖先の足跡),[東京都]練馬区教育委員会社会教育課 編,"東京 : 練馬区教育委員会, 1982.10",104p ; 21cm,pp.41、pp.66、pp.102、pp.103,,,http://id.ndl.go.jp/bib/000001593052,
練馬区役所,35.735678,139.651745,練馬の石造物 神社総集編 (祖先の足跡),[東京都]練馬区教育委員会社会教育課 編,"東京 : 練馬区教育委員会, 1990.3",124p ; 21cm,pp.113-114「弁財天一覧」,,,http://id.ndl.go.jp/bib/000002037493,
東松山市役所,36.042133,139.399952,東松山市史編さん調査報告 第17集 (都幾川・越辺川流域の民俗),[東松山]市史編さん課 編,"東松山 : 東松山市, 1979.3",51p ; 26cm,pp.9「早俣耕地と洪水」[明治43年の大洪水の時は堤防の高さが現在の半分_高さも昔の倍に補強され]、pp.14、pp.34-37「信仰（水の神々）」,,,http://id.ndl.go.jp/bib/000001415022,
東松山市役所,36.042133,139.399952,東松山市の歴史. 中巻,東松山市史編さん課 編,"東松山 : 東松山市, 1985.3",744p ; 22cm,pp.40、pp.103、pp.104「聖牛」pp.108-109、pp.113,,,http://id.ndl.go.jp/bib/000001755339,
東松山市役所,36.042133,139.399952,石仏 : 東松山市石造記念物調査報告,東松山市教育委員会 編,"東松山 : 東松山市, 1979.3",380p ; 27cm,pp.9、pp.14、pp.249-250、pp.251「写真付きリスト」多数,,,https://dl.ndl.go.jp/pid/12424002,
東松山市役所,36.042133,139.399952,都幾川の治水と利水の歴史,10期 郷土学部A班,,,pp.3-6「工事・干ばつの歴史」pp.17「第6章流域の水神信仰_九頭龍神」東松山市生涯学習制度「きらめき市民大学」課題研究資料と思われる。,,,https://www.city.higashimatsuyama.lg.jp/uploaded/attachment/4173.pdf,
東松山市役所,36.042133,139.399952,東松山の神社41社を巡って,19期 国際・文化学部A班,,,pp.7「小剣神社は 2019年10月の台風19号の大雨で、近くの都幾川の堤防が決壊し、その濁流にのまれ壊滅」東松山市生涯学習制度「きらめき市民大学」課題研究資料と思われる。,,,https://www.city.higashimatsuyama.lg.jp/uploaded/attachment/9768.pdf,
