name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
北葛西の十八軒水神宮,35.673112,139.85633,water,不明,高さcm 幅cm 厚cm,東京都江戸川区北葛西２丁目１２−２４,当地区は古来農漁業を営む住民が多く、水神宮に対する信仰が篤く、当初十八軒川河口に水神宮を奉持していたところ、都市計画等により仮移転の余儀なきに至っておりました折、地元田中猛男氏の御厚意により昭和五十三年四月五日、この地宇喜田町四百六十九番地六号に三十四平方米の敷地を御寄贈賜り祠堂の建立ができました...（境内石碑より）,"35.673112, 139.85633",2026年4月26日,木造の水神社。境内に記念の碑が配置されている。目立った損傷は見られない。中川まで400m。,★★★★★,kitakasai_jyuuhatiken_suijingu.jpg,,,,,,,d
北葛西の七軒町水神宮,35.680205,139.859387,water,不明,高さcm 幅cm 厚cm,東京都江戸川区北葛西１丁目２０−１,,"35.680205, 139.859387",2026年4月26日,木造の水神社。新川と宇喜田川に挟まれた場所に鎮座している。,★★★★★,kitasakai_sitikentyo_suijingu.jpg,,,,,,,d
小島八幡神社境内の水神社,35.66589452,139.85200637,water,不明,,東京都江戸川区西葛西２丁目１－１６,,"35.66589452, 139.85200637",2026年5月6日,風化が激しく、正面に刻まれているはずの文字も判別不可能。どちらが水神祠か判明していない。,☆☆☆☆☆,kojima_hatiman_suijin.jpg,,,,,,,d
葛西八雲神社（水神社）,35.65825431,139.87451842,water,1688年,,東京都江戸川区東葛西8丁目5-12,,"35.65825431, 139.87451842",2026年5月6日,水神社自体に劣化は視認できない。,,kasai_yakumo_shrine.jpg,,,,,,,d
桑川神社境内の竜神社,35.6688303,139.87908062,dragon,不明,,東京都江戸川区東葛西１丁目２３−１９,,"35.6688303, 13987908062",2026年5月5日,"竜神社に特筆すべき保存状態の劣化はない。
",,kuwakawa_shrine_dragon.jpg,,,,,,,d
下今井稲荷神社境内の水神社,35.67433325,139.88474759,water,1889年再建（1796年建立）,,東京都江戸川区江戸川５丁目２８−２,,"35.67433325, 13988474759",2026年5月5日,社に特筆すべき劣化は見当たらない。,,simoimai_inari_suijin.jpg,,,,,,,d
下今井熊野神社境内の水神社,35.67696982,139.88514678,water,,,東京都江戸川区江戸川5-7-6,,"35.67696982, 13988514678",2026年5月6日,特筆すべき劣化は確認できない,,simoimai_kumano_shrine_suijin.jpg,,,,,,,d
船堀三嶋神社境内の水神宮,35.68545114,139.87178478,water,1967年,高さ90cm  幅49cm  厚62cm（台座高さ含まず）,東京都江戸川区松江6-10-3,銘文なし,"35.68545114, 13987178478",2026年5月6日,笠部に黒ずみがある以外良好。花崗岩系統の石材が使われている。,★★★★☆,funabori_misima_shrine_suijin.jpg,,,,,,,d
河岸の水神宮,35.6877757,139.87658076,water,,高さ105cm 幅51cm 厚51cm,東京都江戸川区一之江6丁目17-27,正面銘文なし　台座に氏子中,"35.6877757, 13987658076",2026年5月6日,覆屋内に位置し、小さい欠損はあるが状態良好,★★★★★,kasi_suijin.jpg,,,,,,,d
志茂の水神宮（右小祠）,35.69080770,139.87646264,water,1997年,高さ120cm 幅66cm 厚80cm（台座96cm）,東京都江戸川区松江7丁目29-16 一之江境川親水公園,（裏面）平成九年六月大場弥治郎建之,"35.6908018, 13987642903",2026年5月6日,覆屋はないが、向かって右の小祠は状態がよく、裏面に平成九年の銘がある。笠部に黒ずみ（地衣類？）が確認できる。,★★★★★,simo_suijin(right).jpg,,,,,,,d
志茂の水神宮（左小祠）,35.69077473,139.87644991,water,,高さ95cm 幅57cm 厚58cm（台座高さ49cm）,東京都江戸川区松江7丁目29-16 一之江境川親水公園,（左側面）下之庭　願主□□□<br>（右側面）「明」以外判読不可,"35.6908018, 13987642903",2026年5月6日,"2基の「志茂の水神宮」における、向かって左に位置する水神祠は、状態が大変悪い。全体的に剥落が著しく、これ以上剥落が進まないよう金属製のバンドでしめられている。
右側面に「明」の文字が判読できる。

明がつく年号も限られているため、「抹香亭となりの一之江水神宮」と同様、天明年間に建立されたのではと推測されるが定かではない。<br>
江戸川区史第3巻[^1]によると、<span style=""color:red;"">天明の洪水は江戸川区における洪水のうちで、これまでにない最大のものであったと想像される</span>、という記述がある。",☆☆☆☆☆,simo_suijin(left).jpg,,,,,,,d
抹香亭となりの一之江水神宮,35.6970489,139.88147218,water,1788年,高さ140cm  幅50cm  厚50cm（台座高さ含まず）,東京都江戸川区一之江5丁目13番14号,（台座左側面）天明八□戊申年六月吉日,"35.6970489, 13988147218",2026年5月6日,"覆屋はない。欠損も認められ、うっすらと地衣類付着がみられるも総じて状態はよい。鳥居については、""笠木（かさぎ）""、""貫（ぬき）""とも地衣類付着が激しく、""柱""にも付着が認められる。
台座左側面に「天明八□戌申年六月吉日」の銘あり。",★★★☆☆,makkotei_itinoe_suijin.jpg,,,,,,,d
小野原稲荷神社境内の水神社,35.69941031,139.86220185,water,,,東京都江戸川区西小松川町29,,"35.6993888, 13986228337",2026年5月6日,小野原稲荷神社境内の水神社には2基の小祠が祀られているが、どちらも銘はなく詳細は不明。向かって右の小祠にはわずかに「矢沢」という文字が判読できる。,★☆☆☆☆,onohara_inari_shrine_suijin.jpg,,,,,,,d
小野原稲荷神社境内の水神宮,35.69938221,139.86228613,water,,,東京都江戸川区西小松川町29,,"35.6993888, 13986228337",2026年5月6日,小野原稲荷神社境内の水神宮には2基の小祠が祀られているが、どちらも銘はなく詳細は不明。向かって右の小祠にはわずかに「矢沢」という文字が判読できる。,★☆☆☆☆,onohara_inari_shrine_suijin.jpg,,,,,,,d
五分一の水神さま（右小祠）,35.70484453,139.86436539,water,1912年,高さ103cm 幅52cm 厚47cm（台座高さ20cm ）,東京都江戸川区松島1丁目10,扉に「水」「神」（右側面）贈　森澤壽助　（台座右側面）世話人7人の氏名　大正八年六月吉日,"35.70484453, 13986436539",2026年5月6日,台座に地衣類付着、笠部剥落あり。,★★★☆☆,gobuiti_suijin（right）.jpg,,,,,,,d
五分一の水神さま（左小祠）,35.704869682,139.864375649,water,1744年,高さ80cm 幅38cm 厚41cm（台座20cm）,東京都江戸川区松島1丁目10,（右側面）延享元年甲子六月十五日　（左側面）長谷川□,"35.704869682, 139864375649",2026年5月6日,"2基とも、右側面はクリーニングが施されたかのようになっており、銘文が読みやすくなっている。
扉破損と、笠部に地衣類付着がみられる。",★★★☆☆,gobuiti_suijin（left）.jpg,,,,,,,d
新小岩香取神社境内の水神社（道ヶ島の水神）,35.71122419,139.86699307,water,1960年,,東京都江戸川区中央4丁目5-23,（正面）水神社 （裏面）昭和三十五年八月吉日,"35.71122419, 139.86699307",2026年5月6日,覆屋はなく、上記写真ではわかりづらいが玉垣が大変狭く、その関係で寸法計測が困難である。裏面に「昭和三十五年八月吉日」との銘がある。祭神はミズハメノミコト。,★★★★★,sinkoiwa_katori_shrine_suijin.jpg,,,,,,,d
隅田川神社　水神宮碑,35.73278856,139.81308486,water,1819年,高さ118cm 幅45cm 厚14cm,東京都墨田区堤通2丁目17-1,（正面）水神宮　建久年間座跡　隅田邨総鎮守　是より二町余　　山東庵京山建並書 窪世祥鐫　（裏面）文政二年春三月,"35.73278856, 139.81308486",2026年4月11日,"今回の調査したのは水神宮と刻まれた「水神道標碑」である。水神社としての隅田川神社調査は次回とする。
水神道標碑については、地衣類が付着しているものの、正面に刻まれた文字は鮮明。裏面には比較的大きな剥落が見られる。2020年5月頃のブログによる写真と比較すると、剥落の進行が見られる。",★★★☆☆,sumidagawa_shrine_suijin.jpg,,,,,,,d
亀戸水神社,35.70105379,139.83160049,water,1762年(水神社内に再建された石祠の銘),,東京都江東区亀戸4丁目11-19,正面碑文なし　（右）寶暦十二壬午歳六月<br>（左）願主 黒住氏,"35.70105379, 139.83160049",2026年4月11日,水神社内石祠について直接調査はできないが、水神社の劣化は確認できない,,kameido_suijin.jpg,,,,,,,d
本田の水神宮碑,36.13255679,139.29173807,water,1864年,高さ73cm 幅 - cm 厚 - cm ,埼玉県深谷市本田,（正面）水神宮　（正面右添え字）文久四年　（正面左添え字）判読困難,"36.13255679,139.29173807",2026年5月24日,本来は坂下の渡しへの路傍に建つ。本田中央集会所と吉野川の中間地点。,★☆☆☆☆,honda_suijin.jpg,,,,,,,a
亀戸香取神社境内の水神社,35.70401759,139.82549324,water,1786年,,東京都江東区亀戸3丁目57-22,,"35.70401759, 139.82549324",2026年4月11日,,,kameido_katori_shrine_suijin.jpg,,,,,,,d
東小松川渡し場の水神宮,35.69076087,139.86326329,water,,,東京都江戸川区東小松川4丁目28-15 江戸川区立東小松川南会館 隣,,"35.69076087, 139.86326329",2026年4月11日,木造の水神祠に劣化は確認できない。,,higasikomatugawa_watasiba_suijin.jpg,,,,,,,d
東小松川白鬚神社境内の水神宮,35.69363483,139.86310214,water,,高さ94cm  幅49cm  厚45cm,東京都江戸川区東小松川3丁目7-20,（正面）水神□　（右側面）「月」のみ判読可能　（左側面）「願主」のみ判読可能,"35.69363483, 139.86310214",2026年4月11日,正面に刻まれた文字は水神のみ判読ができたが、左右側面文字はそれぞれ1文字しか判読できず、総じて劣化が激しい。石材は軽石のような火成岩系統と思われた。剥落顕著。,☆☆☆☆☆,higasikomatugawa_sirahige_shrine_suijin.jpg,,,,,,,d
大江川水神宮,35.69501874,139.86358871,water,,高さ60cm 幅45cm 厚45cm（台座高さ140cm）,東京都江戸川区東小松川3丁目9-9,（正面）「大江川水神宮」と墨書きされた板がはめ込まれている,"35.69501874, 139.86358871",2026年4月11日,"鍵の付いたフェンスに囲まれ、近寄ることができない。
フェンス越しにも剥落が見え、台座にもそれが確認できた。",★★★★☆,oegawa_suijin.jpg,,,,,,,d
中の庭水神宮,35.697534822,139.864837644,water,1895年,高さ131cm  幅64cm  厚15cm,東京都江戸川区東小松川2丁目6-8,(正面)水神宮　(左添え字)遊雲書,"35.697534822, 139.864837644",2026年4月11日,"表面黒ずんで、虫が這った跡のような模様になっているが正面の文字は鮮明。
裏面までは確認できず。",★★★★☆,nakanoniwa_suijin.jpg,,,,,,,d
上の庭水神宮,35.70392989,139.86773991,water,1882年,高さ80cm  幅50cm  厚50cm（台座高さ96cm）,東京都江戸川区松島１丁目,（正面）水□□,"35.70392989, 139.86773991",2026年4月11日,"笠部左上に亀裂、修復跡、緑色の地衣類付着あり。
各所に小さい欠損、剥落がある。
幣束に隠れていたが「水」という文字は判読可能。",★★☆☆☆,kaminoniwa_suijin.jpg,,,,,,,d
入の庭水神宮,35.69435874,139.86553229,water,,,東京都江戸川区東小松川3丁目22,（正面は扉のみ）,"35.69435874, 139.86553229",2026年4月26日,台座・笠部に欠損・剥落がある。,★★★☆☆,irinoniwa_suijin.jpg,,,,,,,d
船堀稲荷神社境内の水神社,35.68609782,139.85882326,water,,,東京都江戸川区船堀1丁目1-5,,"35.68609782, 139.85882326",2026年4月26日,社に劣化は確認できない。,,funabori_inari_shrine_suijin.jpg,,,,,,,d
蛇坂の水神塔,36.034035583,139.331212473,water,1808年,高さ110cm 幅70cm 厚6cm,埼玉県比企郡嵐山町菅谷,(正面)　水神塔,"36.034035583, 139.331212473",2026年7月15日,地衣類付着が顕著で正面の文字については篆書体で刻まれ、判読は可能。草木が生い茂り、裏面を確認することはできなかった。,★★☆☆☆,hebisaka_suijin.jpg,,,,,,,
上唐子月田橋近傍の水神塔,36.03056598,139.33664832,water,不明も、古老によると文政年間 1818-1831年,高さ80cm  幅29cm  厚30cm,埼玉県東松山市下唐子1675-5,(正面)　水神塔,"36.03056598, 139.33664832",2026年7月15日,正面に地衣類付着。側面に亀裂、剥落あり。,★★★☆☆,kamigarako_tukita_bridge_suijin.jpg,,,,,,,
