name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
■葛袋の九頭龍大神碑,36.022856,139.376578,dragon,2020年,高さ42cm 幅60cm 厚10cm,東松山市葛袋,(裏面)令和元年東日本台風により平成十一年に修復した御宮が損壊した　川北地区の安寧を願い石碑を建立する　令和二年十月吉日建立　川北地区一同　施工（有）安藤石材工業,"36.022856, 139.376578",2026年3月6日,もともとは堤外地に位置し、木製の祠に九頭龍神社という扁額があったが令和東日本台風で損壊（それでも流されなかったと地元住民の言葉）したため現在の位置に移転。,★★★★★,kuzubukuro_kuzuryudragon.jpg,,,,,,,b
■上押垂おっぽり沼の九頭龍大神碑,36.017353,139.395989,dragon,1910年,高さ103cm 幅72cm 厚6cm,東松山市上押垂２２７−３,（正面）上押垂　下青鳥　九頭龍大神　明治四十三年 七十九翁口武書　九月二十一日 宮下石材店　明治四十三年九月二十一日,"36.017353, 139.395989",2026年3月6日,明治43年の大洪水でできたおっぽり沼のふちに所在（九頭龍沼とも）。線香皿、日本酒が供えられていた。裏面中央に亀裂あり。表面の状態は美麗である。,★★★★☆,oppori_numa_kuzuryudragon.jpg,,,,,,,b
悪戸の九頭龍大神,36.014037,139.38946,dragon,1869年,高さ87cm 幅53cm 厚8cm,東松山市西本宿１４７４−１,九頭龍大神　(裏面)悪戸中　明治二己已孟夏,"36.014037, 139.38946",2026年3月6日,表面地衣類付着あり。幅方向に亀裂、裏面に剥落跡あり。毎年の水難に悩まされた人々は土手を築いたが、明治43年の大洪水で堤防は決壊する。,★★★☆☆,akuto_kuzuryudragon.jpg,,,,,,,b
早俣の九頭龍大神,36.007338,139.411772,dragon,1818年,高さ62cm 幅29cm 厚29cm,東松山市大字早俣地内,□時　文政元戌寅□十一月吉日 武州早又村　世話人　林庄右衛門 千代田□兵衛　松本□七,"36.007338, 139.411772",2026年3月15日,覆屋設置も、欠損ひどく、修復済だが中央部に破断跡あり。正面「九頭龍大権現」の文字はかろうじて判読可能。右側の欠損をはじめ様々な箇所に欠損あり。覆屋内は比較的広い。早俣子供広場（旧早俣グランド）に位置する。,★☆☆☆☆,hayamata_children_play_area_kuzuryudragon.jpg,,,,,,,b
■白山神社の九頭龍大権現祠 1,35.995608,139.430713,dragon,1853年,高さ54cm 幅22cm 厚14cm,坂戸市赤尾１６６８,（右側面）嘉永六年□丑六月吉日 （正面）九頭龍大権現 （左側面）赤尾村中,"35.995608, 139.430713",2026年3月15日,正面「□頭龍大権現」の文字判読可能も風化が見られる。,★★☆☆☆,hakusan_shrine_kuzuryudragon1.jpg,,,,,,,b
■白山神社の一目連神社祠,35.995597,139.430705,water,1853年,高さ54cm 幅22cm 厚14cm,坂戸市赤尾１６６８,（右）嘉永六年丑年六月吉日建之　（正面）一目連神社　（左）赤尾村新田組,"35.995597, 139.430705",2026年3月15日,「白山神社の九頭龍大権現祠1」の左横に位置し、同時期建立で同型と見られる。正面の文字は鮮明。,★★☆☆☆,hakusan_shrine_itimokuren.jpg,,,,,,,b
■白山神社の九頭龍大権現祠 2,35.995573,139.430837,dragon,1853年,高さ60cm 幅24cm 厚14cm,坂戸市赤尾１６６８,嘉永六年□丑年四月吉日建之　赤尾村中,"35.995573, 139.430837",2026年3月15日,向かって左から「白山社本殿」「八坂神社」「愛宕神社社」と建てられたうち、愛宕神社右横に位置する。「埼玉の神社」によると九頭龍講祭典は毎年7月21日。「坂戸市史 民俗史料編 2 (石造遺物)」pp.290写真は「権」と「四」の文字からこの「白山神社の九頭龍大権現祠2」と思われる。,★★☆☆☆,hakusan_shrine_kuzuryudragon2.jpg,,,,,,,b
府川の九頭龍大権現碑,35.954857,139.486682,dragon,1820年,高さ70cm 幅31cm 厚20cm,埼玉県川越市府川 釘無橋たもと,（右側面）文政三庚辰年十二月　（正面）九頭龍大権現　（左側面）府川村中　願主 小沢万右衛門　世話人に4人の名前,"35.954857, 139.486682",2026年3月20日,向かって右に欠損あり。正面に刻まれた文字と、左側面の「府川村中」は鮮明だが、右側面の文字は「文政三」以外は欠損のため判別できない。正面に地衣類少し付着。昆虫類の巣等が付着。,★★★☆☆,irumagawa_hukawa_kuzuryudragon.jpg,,,,,,,b
「伊草の渡し」水防倉庫裏の九頭龍大権現碑,35.964558,139.465215,dragon,1912年,高さ108cm 幅96cm 厚19cm,埼玉県比企郡川島町下伊草,明治四十三年八月十日破堤　明治四十五年四月吉日建立」　発起人(桺川久平ほか５名の銘あり）,"35.964558, 139.465215",2026年3月20日,写真裏の白い建物が水防倉庫。樹木と4本の注連竹に囲まれ、スイセンも植えられている。正面地衣類付着多く、特に左側面は著しい。裏面にも地衣類付着著しく、左剥がれあり。発起人については「柳正博_九頭龍神と二〇一九年の台風十九号について」を参照した。,★★★☆☆,igusa_watasi_flood_storage_kuzuryudragon.jpg,,,,,,,b
「伊草の渡し」近傍の九頭龍大権現碑,35.961597,139.469703,dragon,1912年,高さ120cm 幅38cm 厚21cm,埼玉県比企郡川島町下伊草,明治四十三年八月十日破堤　明治四十五年四月吉日建立」　発起人(新井留作ほか５名の銘あり,"35.961597, 139.469703",2026年3月20日,4本の注連竹に囲われ、正面の文字は鮮明。右上に地衣類の付着あり。明治43年8月5日、6日は豪雨連日、8日には荒川、入間川、越辺川、市野川が氾濫し、この時上伊草、下伊草、角泉地内堤 1 か所決潰。,★★★★☆,igusa_watasi_kuzuryudragon.jpg,,,,,,,b
